titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url;precio_m2;es_piso_alto;es_estudio;metros_por_habitacion;log_precio;penalizacion_sin_ascensor;score_calidad
Piso en Calle de Santa Engracia, Almagro, Madrid;Almagro;3120;123;3;2;7;1;0;1;1;1;0;https://www.idealista.com/inmueble/97686397/;25.37;1;0;41.0;8.045588280803528;0;4
Piso en Calle de García de Paredes, Almagro, Madrid;Almagro;3875;165;4;2;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/99708274/;23.48;1;0;41.25;8.262300941787448;0;3
Piso en Paseo del General Martínez Campos, Almagro, Madrid;Almagro;2635;78;2;2;6;1;0;0;1;1;0;https://www.idealista.com/inmueble/101902955/;33.78;1;0;39.0;7.876638460975463;0;3
Piso en Calle de Fernández de la Hoz, Almagro, Madrid;Almagro;3065;95;2;5;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/98059888/;32.26;1;0;47.5;8.027802848370312;0;3
Dúplex en Calle de Fernández de la Hoz, Almagro, Madrid;Almagro;4245;153;3;4;6;1;0;1;1;1;0;https://www.idealista.com/inmueble/101391745/;27.75;1;0;51.0;8.353497098745448;0;4
Piso en Almagro, Madrid;Almagro;9000;316;3;4;0;1;0;1;1;0;1;https://www.idealista.com/inmueble/109792575/;28.48;0;0;105.33;9.104979856318357;0;4
Piso en Calle de Zurbano, Almagro, Madrid;Almagro;4450;156;3;3;4;1;1;0;1;0;1;https://www.idealista.com/inmueble/109804335/;28.53;1;0;52.0;8.400659375160286;0;4
Piso en Calle de Viriato, Almagro, Madrid;Almagro;3200;125;3;3;1;1;1;1;1;0;0;https://www.idealista.com/inmueble/110011619/;25.6;0;0;41.67;8.070906088787819;0;4
Piso en del Monte Esquinza, Almagro, Madrid;Almagro;2500;74;2;2;4;1;0;0;1;1;1;https://www.idealista.com/inmueble/107751390/;33.78;1;0;37.0;7.824046010856292;0;4
Piso en Calle de Fernández de la Hoz, Almagro, Madrid;Almagro;2950;85;2;2;2;1;0;1;1;1;0;https://www.idealista.com/inmueble/107512545/;34.71;0;0;42.5;7.989560449333865;0;4
Piso en Paseo del General Martínez Campos, 24, Almagro, Madrid;Almagro;7290;213;3;3;8;1;0;1;1;1;0;https://www.idealista.com/inmueble/110143332/;34.23;1;0;71.0;8.894258825002703;0;4
Piso en Calle del General Arrando, Almagro, Madrid;Almagro;2000;72;1;1;3;1;0;0;1;0;0;https://www.idealista.com/inmueble/109556987/;27.78;1;0;72.0;7.600902459542082;0;2
Piso en Almagro, Madrid;Almagro;3300;117;2;2;2;1;1;0;1;0;0;https://www.idealista.com/inmueble/110102257/;28.21;0;0;58.5;8.101677747454572;0;3
Estudio en Calle Aguileñas, Ventilla-Almenara, Madrid;Almenara;1200;45;0;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/110207990/;26.67;0;1;45.0;7.090076835776092;0;4
Piso en Plaza Joaquín Dicenta, Ventilla-Almenara, Madrid;Almenara;2050;102;2;2;2;1;1;0;1;1;0;https://www.idealista.com/inmueble/110207921/;20.1;0;0;51.0;7.6255950721324535;0;4
Piso en Ventilla-Almenara, Madrid;Almenara;2250;120;3;2;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/110207765/;18.75;0;0;40.0;7.718685495198466;0;4
Piso en Calle de San Aquilino, 32, Ventilla-Almenara, Madrid;Almenara;2000;140;3;2;3;1;0;1;1;0;0;https://www.idealista.com/inmueble/110205930/;14.29;1;0;46.67;7.600902459542082;0;3
Piso en Calle Pinos Alta, 31, Ventilla-Almenara, Madrid;Almenara;1150;55;1;1;1;1;0;0;0;1;0;https://www.idealista.com/inmueble/108506768/;20.91;0;0;55.0;7.047517221357296;0;2
Piso en Calle del Cañaveral, Ventilla-Almenara, Madrid;Almenara;1375;50;1;1;2;1;1;0;1;1;1;https://www.idealista.com/inmueble/110205788/;27.5;0;0;50.0;7.226209010100671;0;5
Piso en Calle del Marqués de Encinares, Ventilla-Almenara, Madrid;Almenara;1500;57;2;1;3;0;0;0;0;0;0;https://www.idealista.com/inmueble/110195745/;26.32;1;0;28.5;7.313220387090301;1;0
Piso en Plaza Castilla, Ventilla-Almenara, Madrid;Almenara;1080;50;1;1;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/110203613/;21.6;0;0;50.0;6.984716320118266;0;4
Piso en Ventilla-Almenara, Madrid;Almenara;1500;88;3;1;1;1;0;0;1;0;0;https://www.idealista.com/inmueble/110203479/;17.05;0;0;29.33;7.313220387090301;0;2
Piso en Plaza del Norte, 2, Ventilla-Almenara, Madrid;Almenara;2100;97;2;2;1;1;1;1;1;0;0;https://www.idealista.com/inmueble/102409865/;21.65;0;0;48.5;7.649692623711514;0;4
Piso en Calle de San Aquilino, Ventilla-Almenara, Madrid;Almenara;2070;83;2;2;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/103379442/;24.94;0;0;41.5;7.635303886259415;0;4
Dúplex en Calle de los Vizcaínos, Ventilla-Almenara, Madrid;Almenara;990;64;1;1;0;1;0;0;1;0;0;https://www.idealista.com/inmueble/109987973/;15.47;0;0;64.0;6.897704943128636;0;2
