titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url
Piso en Calle de los Madrazo, Huertas-Cortes, Madrid;Cortes;1450;50;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/108396882/
Estudio en Calle de la Escalinata, Palacio, Madrid;Palacio;1250;30;0;1;3;0;0;0;0;0;0;https://www.idealista.com/inmueble/98644512/
Piso en Huertas-Cortes, Madrid;Cortes;1390;53;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/106957764/
Dúplex en de la Toronga, Conde Orgaz-Piovera, Madrid;Otros Madrid;2700;235;3;1;0;0;0;0;0;0;0;https://www.idealista.com/inmueble/100524651/
Piso en Calle de los Madrazo, Huertas-Cortes, Madrid;Cortes;1450;50;1;1;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/108396882/
Chalet adosado en Canillas, Madrid;Otros Madrid;7000;700;6;5;-1;1;1;1;1;0;0;https://www.idealista.com/inmueble/32144674/
Piso en Huertas-Cortes, Madrid;Cortes;1390;53;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/106957764/
Ático en CL Luna, Malasaña-Universidad, Madrid;Malasaña;3700;166;2;2;4;1;0;1;1;0;1;https://www.idealista.com/inmueble/108783258/
Piso en Calle de Alcalá, Goya, Madrid;Goya;1650;32;1;1;2;1;0;1;1;1;0;https://www.idealista.com/inmueble/106957408/
Piso en CL Fernandez De Oviedo, Ciudad Jardín, Madrid;Ciudad Jardín;1650;80;1;2;2;1;0;1;1;1;0;https://www.idealista.com/inmueble/108874954/
Piso en Huertas-Cortes, Madrid;Cortes;1420;47;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/106950663/
Estudio en Carrera de San Jerónimo, Sol, Madrid;Sol;1400;36;0;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/107054884/
Estudio en Calle de Mantuano, 24, Ciudad Jardín, Madrid;Ciudad Jardín;925;43;0;1;0;1;0;0;0;0;0;https://www.idealista.com/inmueble/106049542/
Piso en Calle José Ignacio Ávila, Conde Orgaz-Piovera, Madrid;Otros Madrid;2200;142;2;2;1;1;1;1;1;1;0;https://www.idealista.com/inmueble/101952295/
